Subtype,Case ID,gene,expression
UPS,RU-14-00052 A1,AAMP,71
UPS,RU-14-00052 A1,ABCB1,17
UPS,RU-14-00052 A1,ADAM11,13
UPS,RU-14-00052 A1,ADIPOQ,23
UPS,RU-14-00052 A1,ADORA2A,7
UPS,RU-14-00052 A1,ADORA2b,33
UPS,RU-14-00052 A1,AGGF1,44
UPS,RU-14-00052 A1,ALB,1
UPS,RU-14-00052 A1,AMICA1,100
UPS,RU-14-00052 A1,ANTXR1,300
UPS,RU-14-00052 A1,ANXA2,1442.0109999999986
UPS,RU-14-00052 A1,ANXA4,113
UPS,RU-14-00052 A1,AP1M2,4
UPS,RU-14-00052 A1,AP1S2,84
UPS,RU-14-00052 A1,AREG,23
UPS,RU-14-00052 A1,ARG1,14
UPS,RU-14-00052 A1,ARG2,9
UPS,RU-14-00052 A1,ASCL2,9
UPS,RU-14-00052 A1,ATP6V0D2,11
UPS,RU-14-00052 A1,ATP8B4,15
UPS,RU-14-00052 A1,AURKA,26
UPS,RU-14-00052 A1,AURKB,14
UPS,RU-14-00052 A1,AXIN2,9
UPS,RU-14-00052 A1,AXL,78
UPS,RU-14-00052 A1,B2M,4858.0539999999455
UPS,RU-14-00052 A1,B3GAT1,1
UPS,RU-14-00052 A1,BATF,5
UPS,RU-14-00052 A1,BCAM,29
UPS,RU-14-00052 A1,BCL11A,21
UPS,RU-14-00052 A1,BCL11B,13
UPS,RU-14-00052 A1,BCL2,42
UPS,RU-14-00052 A1,BCL6,63
UPS,RU-14-00052 A1,BIM,10
UPS,RU-14-00052 A1,BIRC5,14
UPS,RU-14-00052 A1,BLNK,21
UPS,RU-14-00052 A1,BNC1,19
UPS,RU-14-00052 A1,BNIP3L,206
UPS,RU-14-00052 A1,BRAF,31
UPS,RU-14-00052 A1,BRCA1,13
UPS,RU-14-00052 A1,BRCA2,7
UPS,RU-14-00052 A1,BST1,59
UPS,RU-14-00052 A1,BST2,73
UPS,RU-14-00052 A1,BTLA,15
UPS,RU-14-00052 A1,BTN1A1,7
UPS,RU-14-00052 A1,BTN2A1,17
UPS,RU-14-00052 A1,BTN2A2,13
UPS,RU-14-00052 A1,BTN3A1,29
UPS,RU-14-00052 A1,BTN3A2,51
UPS,RU-14-00052 A1,BTN3A3,56
UPS,RU-14-00052 A1,BTNL2,13
UPS,RU-14-00052 A1,BTNL8,9
UPS,RU-14-00052 A1,BTNL9,11
UPS,RU-14-00052 A1,BUB1,13
UPS,RU-14-00052 A1,C10orf54,11
UPS,RU-14-00052 A1,C1orf210,4
UPS,RU-14-00052 A1,C5AR2,29
UPS,RU-14-00052 A1,CADM1,90
UPS,RU-14-00052 A1,CALR,769.0230000000012
UPS,RU-14-00052 A1,CANX,315
UPS,RU-14-00052 A1,CASP3,51
UPS,RU-14-00052 A1,CASP8,69
UPS,RU-14-00052 A1,CCKBR,9
UPS,RU-14-00052 A1,CCL19,79
UPS,RU-14-00052 A1,CCL21,37
UPS,RU-14-00052 A1,CCL24,6
UPS,RU-14-00052 A1,CCL27,4
UPS,RU-14-00052 A1,CCL3,44
UPS,RU-14-00052 A1,CCL4,39
UPS,RU-14-00052 A1,CCL5,50
UPS,RU-14-00052 A1,CCL8,17
UPS,RU-14-00052 A1,CCNB1,9
UPS,RU-14-00052 A1,CCNB2,10
UPS,RU-14-00052 A1,CCR1,47
UPS,RU-14-00052 A1,CCR2,17
UPS,RU-14-00052 A1,CCR3,17
UPS,RU-14-00052 A1,CCR4,10
UPS,RU-14-00052 A1,CCR5,37
UPS,RU-14-00052 A1,CCR6,4
UPS,RU-14-00052 A1,CCR7,10
UPS,RU-14-00052 A1,CD101,7
UPS,RU-14-00052 A1,CD14,283.06900000000314
UPS,RU-14-00052 A1,CD151,33
UPS,RU-14-00052 A1,CD160,5
UPS,RU-14-00052 A1,CD163,533
UPS,RU-14-00052 A1,CD1D,6
UPS,RU-14-00052 A1,CD2,3
UPS,RU-14-00052 A1,CD200,47
UPS,RU-14-00052 A1,CD200R1,26
UPS,RU-14-00052 A1,CD207,9
UPS,RU-14-00052 A1,CD209,42
UPS,RU-14-00052 A1,CD22,54
UPS,RU-14-00052 A1,CD226,4
UPS,RU-14-00052 A1,CD24,33
UPS,RU-14-00052 A1,CD244,4
UPS,RU-14-00052 A1,CD247,23
UPS,RU-14-00052 A1,CD27,17
UPS,RU-14-00052 A1,CD274,26
UPS,RU-14-00052 A1,CD276,320
UPS,RU-14-00052 A1,CD28,21
UPS,RU-14-00052 A1,CD300A,13
UPS,RU-14-00052 A1,CD300E,6
UPS,RU-14-00052 A1,CD300LB,7
UPS,RU-14-00052 A1,CD300LF,19
UPS,RU-14-00052 A1,CD33,13
UPS,RU-14-00052 A1,CD37,47
UPS,RU-14-00052 A1,CD38,9
UPS,RU-14-00052 A1,CD3D,25
UPS,RU-14-00052 A1,CD3E,6
UPS,RU-14-00052 A1,CD3G,13
UPS,RU-14-00052 A1,CD4,115
UPS,RU-14-00052 A1,CD40,17
UPS,RU-14-00052 A1,CD40LG,13
UPS,RU-14-00052 A1,CD44,304.06400000000576
UPS,RU-14-00052 A1,CD46,131
UPS,RU-14-00052 A1,CD47,148
UPS,RU-14-00052 A1,CD48,59
UPS,RU-14-00052 A1,CD5,19
UPS,RU-14-00052 A1,CD52,62
UPS,RU-14-00052 A1,CD55,15
UPS,RU-14-00052 A1,CD59,665.0270000000019
UPS,RU-14-00052 A1,CD6,13
UPS,RU-14-00052 A1,CD68,197
UPS,RU-14-00052 A1,CD69,39
UPS,RU-14-00052 A1,CD7,4
UPS,RU-14-00052 A1,CD70,15
UPS,RU-14-00052 A1,CD72,5
UPS,RU-14-00052 A1,CD74,962.0539999999892
UPS,RU-14-00052 A1,CD79A,13
UPS,RU-14-00052 A1,CD80,35
UPS,RU-14-00052 A1,CD81,740.0239999999976
UPS,RU-14-00052 A1,CD82,39
UPS,RU-14-00052 A1,CD84,59
UPS,RU-14-00052 A1,CD86,42
UPS,RU-14-00052 A1,CD8B,11
UPS,RU-14-00052 A1,CD8a,37
UPS,RU-14-00052 A1,CD9,270
UPS,RU-14-00052 A1,CD96,6
UPS,RU-14-00052 A1,CD97,80
UPS,RU-14-00052 A1,CDC42SE1,194
UPS,RU-14-00052 A1,CDCA2,21
UPS,RU-14-00052 A1,CDCA3,10
UPS,RU-14-00052 A1,CDH1,9
UPS,RU-14-00052 A1,CDH11,486.03899999999703
UPS,RU-14-00052 A1,CDH17,5
UPS,RU-14-00052 A1,CDH2,9
UPS,RU-14-00052 A1,CDH3,9
UPS,RU-14-00052 A1,CDH5,13
UPS,RU-14-00052 A1,CDKN1A,203
UPS,RU-14-00052 A1,CDKN2A,4
UPS,RU-14-00052 A1,CDKN2C,10
UPS,RU-14-00052 A1,CDO1,23
UPS,RU-14-00052 A1,CEACAM1,3
UPS,RU-14-00052 A1,CENPA,11
UPS,RU-14-00052 A1,CHGA,1
UPS,RU-14-00052 A1,CHI3L1,335
UPS,RU-14-00052 A1,CHI3L2,7
UPS,RU-14-00052 A1,CIITA,65
UPS,RU-14-00052 A1,CLCA1,13
UPS,RU-14-00052 A1,CLCA2,10
UPS,RU-14-00052 A1,CLDN4,5
UPS,RU-14-00052 A1,CLDN7,7
UPS,RU-14-00052 A1,CLEC10A,21
UPS,RU-14-00052 A1,CLEC12A,2
UPS,RU-14-00052 A1,CLEC1B,7
UPS,RU-14-00052 A1,CLEC2D,10
UPS,RU-14-00052 A1,CLEC3B,14
UPS,RU-14-00052 A1,CLEC4A,23
UPS,RU-14-00052 A1,CLEC4D,19
UPS,RU-14-00052 A1,CLEC4E,15
UPS,RU-14-00052 A1,CLEC5A,13
UPS,RU-14-00052 A1,CLEC6A,10
UPS,RU-14-00052 A1,CLEC7A,39
UPS,RU-14-00052 A1,CLEC9A,1
UPS,RU-14-00052 A1,CLIP3,115
UPS,RU-14-00052 A1,CMKLR1,180
UPS,RU-14-00052 A1,CNKSR2,6
UPS,RU-14-00052 A1,CNR2,4
UPS,RU-14-00052 A1,CPD,100
UPS,RU-14-00052 A1,CRLF2,2
UPS,RU-14-00052 A1,CRTAM,11
UPS,RU-14-00052 A1,CSF1,63
UPS,RU-14-00052 A1,CSF1R,39
UPS,RU-14-00052 A1,CSF2RB,84
UPS,RU-14-00052 A1,CSF3,1
