Sample Name	Sample Type	Description
115124DN	DNA	NMS22 8647 tumor
115125DN	DNA	NMS23 471 tumor
115126DN	DNA	S10-479 tumor
115127DN	DNA	S08-25548 tumor
115128DN	DNA	NMS22 28934 tumor
115129DN	DNA	NMS23 471 cluster
115130DN	DNA	S10-479 cluster
115131DN	DNA	S08-25548 cluster
115132DN	DNA	NMS22 28934 cluster
115133DN	DNA	NMS22 8647 adj
115134DN	DNA	NMS23 471 adj
115135DN	DNA	S10-479 adj
115136DN	DNA	S08-25548 adj
115137DN	DNA	NMS22 28934 adj
115124RN	RNA	NMS22 8647 tumor
115125RN	RNA	NMS23 471 tumor
115126RN	RNA	S10-479 tumor
115127RN	RNA	S08-25548 tumor
115128RN	RNA	NMS22 28934 tumor
115129RN	RNA	NMS23 471 cluster
115130RN	RNA	S10-479 cluster
115131RN	RNA	S08-25548 cluster
115132RN	RNA	NMS22 28934 cluster
115133RN	RNA	NMS22 8647 adj
115134RN	RNA	NMS23 471 adj
115135RN	RNA	S10-479 adj
115136RN	RNA	S08-25548 adj
115137RN	RNA	NMS22 28934 adj
