gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
COL11A2,0.3069713799391376,9.567515918635108,5.731407663738292,5.2782021787435013e-8,9.585215156598199e-5,8.094984673946932
HLA-C,-0.33636004972442984,9.364015755981882,-5.380338177160045,2.7949899619701483e-7,2.5378508854688946e-4,6.529379026892261
PBX1,-0.21236120662504127,9.484647165250518,-5.017709750378882,1.4589037231073993e-6,8.528763842717849e-4,5.003394821177867
PSAT1,-0.20357196221012525,9.49333868867268,-4.948023250153911,1.9872408418123885e-6,8.528763842717849e-4,4.718220398373801
LGALS3,-0.19389449275283352,9.44788723668542,-4.910121120003501,2.348227930263725e-6,8.528763842717849e-4,4.5652930607173055
MAPK11,-0.19907488924731453,9.538956104427132,-4.823963503993064,3.4210385041134442e-6,0.0010354343205783358,4.2194253095495435
SOST,-0.20215041921336901,9.473723092249594,-4.692253539189405,6.029209250662749e-6,0.0013613964526415217,3.6985362084813813
FANCE,-0.19531798472842452,9.48846211229668,-4.65644834582957,7.020607377339084e-6,0.0013613964526415217,3.559208810953174
PIK3CD,-0.2073655915523966,9.522073416086123,-4.62569807636427,7.996188545527951e-6,0.0013613964526415217,3.437469524395377
FUBP1,-0.16804902906536848,9.51382933545339,-4.576072107964481,9.852458432921862e-6,0.0013613964526415217,3.247120345888085
COL2A1,0.3346638610181097,9.605272028962494,4.571971311479534,1.0023207613694073e-5,0.0013613964526415217,3.2281578577510084
JAK1,-0.17017877343971213,9.474233093899615,-4.557103445865812,1.066653441666514e-5,0.0013613964526415217,3.1743397104279634
PLA2G4E,-0.17942755485951495,9.45143655342612,-4.550123495955503,1.0982117732893773e-5,0.0013613964526415217,3.1494147491873346
CD74,-0.3372581421230828,9.770864374856092,-4.54880286484607,1.1042831610852743e-5,0.0013613964526415217,3.1325166060551153
CACNA1C,-0.18487489811208752,9.493373544328149,-4.54445495987361,1.1245014751994948e-5,0.0013613964526415217,3.1245675920173275
FZD5,-0.1778114906974933,9.435555288576383,-4.518262550672047,1.2540626591714855e-5,0.001423361118159636,3.0258853165535626
DDX43,-0.18057636626458723,9.417432191044119,-4.4907572860163425,1.4055659867580753e-5,0.0015014751952662734,2.923384176215511
EGR2,-0.18190865466420741,9.46517404799496,-4.388568366735215,2.138237153418558e-5,0.002069503238835088,2.5367954844112663
GATA1,-0.17119980199319168,9.524111962199305,-4.3854877316801595,2.1652291595741556e-5,0.002069503238835088,2.524051109510383
GAS1,-0.1729863559248347,9.566594266715105,-4.3623322190650855,2.3788607921292106e-5,0.0021389030322152727,2.436662685000578
KLRG1,-0.1738507253427305,9.447198702636205,-4.345505332030386,2.5466630881412805e-5,0.0021389030322152727,2.376074642943161
MTF2,-0.20727809530151625,9.449425290964411,-4.341219898009517,2.5911820874854625e-5,0.0021389030322152727,2.3656239015359724
WIF1,-0.20217030089238422,9.483626650143938,-4.317814660398485,2.8478253165759038e-5,0.0022485438151747137,2.277986178754915
MIA,0.2999694945444707,9.760625774632551,4.292777820187983,3.149325462340861e-5,0.0023829895998379183,2.1865258151567133
SETBP1,-0.17470493252656477,9.478916651398032,-4.255804202450067,3.651193970275098e-5,0.0024427590019616926,2.0535312958690586
TNFRSF10C,-0.1839946963099583,9.506337682233958,-4.252246350775523,3.7033427759422504e-5,0.0024427590019616926,2.0327707253892866
PPL,-0.18034732667253073,9.449720374555593,-4.2421110017002945,3.8558447017571124e-5,0.0024427590019616926,1.9995385292659318
MMP7,-0.15741144138116678,9.445204504922712,-4.239748276651581,3.892251216912782e-5,0.0024427590019616926,1.9909467525229587
CD80,-0.14903493870109974,9.432723096947976,-4.239191281055346,3.9008816661282534e-5,0.0024427590019616926,1.9872556843100728
HSD17B8,0.18001626908517662,9.56647852489175,4.211153956994423,4.35981568793309e-5,0.0025131914497247736,1.8762318927889465
DLL1,-0.1807526895278125,9.464077067502137,-4.209331005171245,4.391381006957632e-5,0.0025131914497247736,1.8809884611135583
FGF14,-0.17062078093598393,9.534667233271461,-4.207201530210215,4.4285311889423325e-5,0.0025131914497247736,1.8682137852884733
EFNA3,-0.17615605303196968,9.461276595783861,-4.198726799401519,4.5793838351076074e-5,0.002520048801380429,1.8443167921144372
CACNA2D4,-0.15128284430033281,9.54316239807201,-4.177248065180181,4.984072474957975e-5,0.002662081063095201,1.7617490913302474
IGFBP3,-0.16308103995907777,9.460035406997205,-4.1631727629362985,5.267604932805183e-5,0.002733134445135489,1.7098076689322932
CD300A,-0.16277323144209557,9.481714791927525,-4.096718856518491,6.827930579160009e-5,0.0033392409589622176,1.472451101697323
MAP3K1,-0.14883756671738982,9.49100547003394,-4.09652535747508,6.833061300849296e-5,0.0033392409589622176,1.4771785889832483
GMIP,-0.16385377910177298,9.51218056849419,-4.090768685564051,6.987398482409926e-5,0.0033392409589622176,1.4625386579593016
TNFSF9,-0.14225555923609512,9.571329220432746,-4.07314678440214,7.48081827850958e-5,0.003442391045181392,1.3947495977782065
ADH1A/B/C,-0.1455344378866085,9.545021193176932,-4.0696585284542435,7.582359130355489e-5,0.003442391045181392,1.3757310613487785
BBC3,-0.16635682989187464,9.517334438610984,-4.056927695977295,7.96422804825174e-5,0.0034636881853491565,1.344240440456094
GRIN1,-0.16423948298064733,9.510252354692922,-4.045311088259092,8.32863922711251e-5,0.0034636881853491565,1.2940273487738203
CXCR3,-0.17717021688776363,9.51072725511933,-4.044120373494518,8.366878312842547e-5,0.0034636881853491565,1.2946087972958287
OAT,-0.13467537469366864,9.525212475507976,-4.043334867258419,8.392196043797516e-5,0.0034636881853491565,1.2856355869035454
PRM1,-0.1592231668036035,9.504150913645347,-4.02705305445307,8.933739031904448e-5,0.003579124408698083,1.2325761694993016
