gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
COL2A1,0.6662904972466791,9.605272028962494,7.875441460622232,6.386269748257338e-13,1.1597465862835327e-9,18.856932156723026
COL11A2,0.37982745099497467,9.567515918635108,6.072871590479693,9.904878367213078e-9,8.993629557429475e-6,9.677409751304747
FANCE,-0.23420730588698327,9.48846211229668,-5.288179356690951,4.3013512027605094e-7,1.8477003047912338e-4,6.133681083462671
CUL1,0.23588764111118984,9.532144607514114,5.276002929613775,4.549170989857603e-7,1.8477003047912338e-4,6.090310113738127
HSD17B8,0.22460057013137175,9.56647852489175,5.251648027690656,5.087280574865732e-7,1.8477003047912338e-4,5.985860745024759
NDUFA13,0.2979778746176458,9.634239072439698,5.107628189955036,9.788007117744841e-7,2.9625034876374387e-4,5.3695032649510495
PBX1,-0.22382184660492957,9.484647165250518,-5.031811940646822,1.3749296208630603e-6,3.566960273553311e-4,5.060629674293372
ILF3,0.1952583300431772,9.504079121080046,4.939356582640337,2.0716888160500165e-6,4.314725800644874e-4,4.679335108293273
MAPK11,-0.20670011102468594,9.538956104427132,-4.932166942958251,2.1383552976764245e-6,4.314725800644874e-4,4.65271251998216
TNFSF9,-0.17387293361924983,9.571329220432746,-4.794918477039075,3.891709589817132e-6,7.067344615107912e-4,4.098354847356692
WIF1,-0.23766459113513147,9.483626650143938,-4.727128434319906,5.209505430443621e-6,8.071051872987776e-4,3.832176937038354
COL1A2,0.3115672713847454,9.587970582974561,4.721641489904313,5.333294189198971e-6,8.071051872987776e-4,3.7944536222353458
SOST,-0.21826021067637408,9.473723092249594,-4.649861779402276,7.239153150609952e-6,0.001011254009346744,3.5296676104047666
PIK3CD,-0.20749160183633822,9.522073416086123,-4.46648575166469,1.5574711335419797e-5,0.002020262556080168,2.8203373676536776
FUBP1,-0.16647076971262453,9.51382933545339,-4.3564175346614435,2.4419047597365663e-5,0.002956332695787736,2.4105016018496075
CD74,-0.42591470687165406,9.770864374856092,-4.216168149113529,4.282410100176516e-5,0.004811005037423092,1.8722217186128987
COMP,0.46541274633455343,9.658625167075114,4.203430614893891,4.5036941429621455e-5,0.004811005037423092,1.7861118138757952
GMIP,-0.1775850260974219,9.51218056849419,-4.15256166777393,5.501600801451814e-5,0.005550503919686941,1.6715724564378291
BTK,0.2380206566830876,9.471716036380293,4.094030059673104,6.911636337388065e-5,0.006464225482307627,1.4501759861965002
BBC3,-0.16977947316693895,9.517334438610984,-4.08639676515685,7.119191059810162e-5,0.006464225482307627,1.4365746097739471
TAL1,-0.17353709788801153,9.506791840822316,-4.04103841552638,8.480791064957947e-5,0.007333865035220778,1.2734050611754144
CNTFR,-0.1631270774545871,9.565078808687089,-3.98770455214131,1.0400074441216008e-4,0.008469761907744223,1.0742720171874378
DDX43,-0.18307573254545198,9.417432191044119,-3.9795658467940114,1.0727121358927155e-4,0.008469761907744223,1.069151674539202
MIA,0.28784133175580384,9.760625774632551,3.9437352445317235,1.2287109594551513e-4,0.008952300843222922,0.8409181355782493
PSAT1,-0.1719853506268098,9.49333868867268,-3.942937149668112,1.2324202702674726e-4,0.008952300843222922,0.937529113953687
SERPINB2,0.17404213054159215,9.540083128606842,3.9201162304481825,1.343110019882869e-4,0.009350118367639755,0.8259480241124013
TNFRSF10C,-0.16951384583451043,9.506337682233958,-3.9109537148424325,1.3901607705191267e-4,0.009350118367639755,0.8142209254032915
CMKLR1,-0.1748502219767684,9.581017312086477,-3.8847092874142928,1.533762344554782e-4,0.009733367371816078,0.7180027760456165
FN1,0.3368283301364543,9.582074852152397,3.8811419998822307,1.5543373005653428e-4,0.009733367371816078,0.6630150217157889
UBA7,-0.17062786403216457,9.513373067744453,-3.8309855806132247,1.872880810535267e-4,0.010864143892111655,0.5481237007207174
TCL1A,-0.2023366430815547,9.541223984732264,-3.825777995271355,1.909295555440175e-4,0.010864143892111655,0.5303979264188516
ITGA2B,-0.15456017712683473,9.486517195907654,-3.8189285105052257,1.9582156640951572e-4,0.010864143892111655,0.5185319133885251
WNT10A,-0.162569085487586,9.56018428946641,-3.8167241214247882,1.9742111698220518e-4,0.010864143892111655,0.4968752519127735
GAS1,-0.16253985073239433,9.566594266715105,-3.8023989698431953,2.0812177159486428e-4,0.011045664846605133,0.43769397252749354
TMUB2,0.22001833192156892,9.500966003589522,3.793850090044318,2.1476740675211234e-4,0.011045664846605133,0.4049600690472701
CACNA1C,-0.17431375834577467,9.493373544328149,-3.788576314670877,2.1896692427190794e-4,0.011045664846605133,0.4086272949411436
KIR3DL3,-0.224221416126642,9.446232319326063,-3.763380307347394,2.401278621383749e-4,0.011477127159781145,0.3400233762843863
MAP4K2,-0.15986676981847364,9.523965943485274,-3.763343496730444,2.4016014981920896e-4,0.011477127159781145,0.31815380022352446
