gene_symbol,sample,norm_exp
A2M,NMS22-13453,4.278655530758311
A2M,NMS22-28934,4.511058085984093
A2M,NMS23-1947,4.321505224223564
A2M,NMS23-471,4.023809481155548
A2M,S08-25548,3.955860375711952
A2M,S10-479,4.1004122491725274
A2M,S14-11208,3.4669046746164844
A2M,S14-9996,3.8575779240900325
A2M,S15-16380,4.121201559417304
A2M,S17-4703,4.190810838834208
A2M,S18-6943,4.029892456564566
ACVR1C,NMS22-13453,1.4207806195485655
ACVR1C,NMS22-28934,1.674585602302914
ACVR1C,NMS23-1947,1.69810054562339
ACVR1C,NMS23-471,1.5332635167787148
ACVR1C,S08-25548,1.442009159140952
ACVR1C,S10-479,2.098955060438469
ACVR1C,S14-11208,1.4449811120879448
ACVR1C,S14-9996,1.4292676664331685
ACVR1C,S15-16380,1.9874428049358013
ACVR1C,S17-4703,1.3109056293761414
ACVR1C,S18-6943,2.236713563365637
ADAM12,NMS22-13453,3.2378326690094035
ADAM12,NMS22-28934,3.104029358675686
ADAM12,NMS23-1947,2.765571702995299
ADAM12,NMS23-471,3.1779201255693565
ADAM12,S08-25548,3.072135884944483
ADAM12,S10-479,2.7951497890508175
ADAM12,S14-11208,3.0806264869218056
ADAM12,S14-9996,3.1136425827717398
ADAM12,S15-16380,3.0331743666937045
ADAM12,S17-4703,2.9963408978082895
ADAM12,S18-6943,2.56696751468097
ADGRE1,NMS22-13453,1.7007902213743469
ADGRE1,NMS22-28934,1.3656751404559178
ADGRE1,NMS23-1947,1.4820155764507117
ADGRE1,NMS23-471,0.9143431571194408
ADGRE1,S08-25548,1.380934463330702
ADGRE1,S10-479,2.283391697297128
ADGRE1,S14-11208,0.9628426812012424
ADGRE1,S14-9996,1.5304558435846762
ADGRE1,S15-16380,1.0346284566253203
ADGRE1,S17-4703,1.330210784571528
ADGRE1,S18-6943,1.4151403521958728
ADM,NMS22-13453,2.418201823178248
ADM,NMS22-28934,2.430349226279516
ADM,NMS23-1947,2.765571702995299
ADM,NMS23-471,2.0937017848055484
ADM,S08-25548,3.2736585857589953
ADM,S10-479,3.0987163905275095
ADM,S14-11208,2.1741470650970305
ADM,S14-9996,2.8268648884646135
ADM,S15-16380,2.439711549174355
ADM,S17-4703,2.0427723374976736
ADM,S18-6943,2.5036953728699967
ADORA2A,NMS22-13453,2.0637460616134433
ADORA2A,NMS22-28934,1.8057047044338643
ADORA2A,NMS23-1947,1.793231447056521
ADORA2A,NMS23-471,1.8477576883923312
ADORA2A,S08-25548,1.9857856177726052
ADORA2A,S10-479,2.336379672186969
ADORA2A,S14-11208,1.6679196853173615
ADORA2A,S14-9996,1.7933712489189557
ADORA2A,S15-16380,1.745309059940828
ADORA2A,S17-4703,1.7598943740254993
ADORA2A,S18-6943,1.9470414052552203
AKT1,NMS22-13453,3.385597337405925
AKT1,NMS22-28934,3.3148464405194233
AKT1,NMS23-1947,3.202771578654298
AKT1,NMS23-471,3.3505658675956447
AKT1,S08-25548,3.392183232584682
AKT1,S10-479,2.965187585049533
AKT1,S14-11208,3.272324403598769
AKT1,S14-9996,3.326782217308674
AKT1,S15-16380,3.4382875512458773
AKT1,S17-4703,3.3622637644813778
AKT1,S18-6943,3.2569100818893566
ALDOA,NMS22-13453,4.028875315020649
ALDOA,NMS22-28934,4.106056200876496
ALDOA,NMS23-1947,4.486388818592824
ALDOA,NMS23-471,4.069692881323877
ALDOA,S08-25548,4.010040744603096
ALDOA,S10-479,4.436207824043627
ALDOA,S14-11208,4.037769415318986
ALDOA,S14-9996,4.119436367791725
ALDOA,S15-16380,4.246948153020894
ALDOA,S17-4703,4.144866129708468
ALDOA,S18-6943,4.387386266533305
ALDOC,NMS22-13453,2.633902533058905
ALDOC,NMS22-28934,2.5042533209548865
ALDOC,NMS23-1947,2.1547282074401557
ALDOC,NMS23-471,2.922875904332916
ALDOC,S08-25548,2.6324471686522375
ALDOC,S10-479,2.3526840797772675
ALDOC,S14-11208,2.779957051246906
ALDOC,S14-9996,2.410490420003448
ALDOC,S15-16380,2.8803848005903028
ALDOC,S17-4703,2.577664104732127
ALDOC,S18-6943,2.429623102582686
ANGPT1,NMS22-13453,2.558516574737862
ANGPT1,NMS22-28934,2.1568821644393767
ANGPT1,NMS23-1947,2.2233661264398608
ANGPT1,NMS23-471,2.712144414214886
ANGPT1,S08-25548,2.377743240354006
ANGPT1,S10-479,2.4649513172615296
ANGPT1,S14-11208,2.2005221918021127
ANGPT1,S14-9996,2.414438502482157
ANGPT1,S15-16380,2.0337051514678524
ANGPT1,S17-4703,2.031691168625146
ANGPT1,S18-6943,2.666152795061145
ANGPT2,NMS22-13453,2.655896826765073
ANGPT2,NMS22-28934,2.3994314179340583
ANGPT2,NMS23-1947,2.4192947217534604
ANGPT2,NMS23-471,2.8230175234460493
ANGPT2,S08-25548,2.1511859180860733
ANGPT2,S10-479,2.3194183890477276
ANGPT2,S14-11208,2.2223262109908117
ANGPT2,S14-9996,2.8864850849477803
ANGPT2,S15-16380,2.6798456359364575
ANGPT2,S17-4703,2.2851520785250914
ANGPT2,S18-6943,2.3840486020286185
ANGPTL4,NMS22-13453,2.3515257545478363
ANGPTL4,NMS22-28934,2.730572342843414
ANGPTL4,NMS23-1947,3.245828403547361
ANGPTL4,NMS23-471,2.664406904112279
ANGPTL4,S08-25548,3.2739383364790178
ANGPTL4,S10-479,3.6354958103829715
ANGPTL4,S14-11208,2.573741641520317
ANGPTL4,S14-9996,3.791066472433101
ANGPTL4,S15-16380,2.9769320111934836
ANGPTL4,S17-4703,2.398408793614166
ANGPTL4,S18-6943,2.6999417360418305
ANLN,NMS22-13453,2.5112949946962697
ANLN,NMS22-28934,2.494071067817223
ANLN,NMS23-1947,2.6248078823849657
ANLN,NMS23-471,2.7466341989375787
ANLN,S08-25548,2.4864729852063823
ANLN,S10-479,2.3982525881838823
ANLN,S14-11208,2.7243496114594334
ANLN,S14-9996,2.8930623344655353
ANLN,S15-16380,2.620417161843734
ANLN,S17-4703,2.5398912045347903
ANLN,S18-6943,2.2183516657451334
APC,NMS22-13453,2.984180639521778
APC,NMS22-28934,2.935320811700832
APC,NMS23-1947,2.9662121531616235
APC,NMS23-471,2.988813038447916
APC,S08-25548,2.874522404072273
APC,S10-479,3.0987163905275095
APC,S14-11208,3.033504172945175
APC,S14-9996,3.0042568698121443
APC,S15-16380,2.8778779192055013
APC,S17-4703,3.0761924488866863
APC,S18-6943,2.9942951513787226
APH1B,NMS22-13453,1.7827591926239972
APH1B,NMS22-28934,1.7662640906519955
APH1B,NMS23-1947,1.4056877866727775
APH1B,NMS23-471,1.8278214276828022
APH1B,S08-25548,1.8382192219076259
APH1B,S10-479,1.1017470739463662
APH1B,S14-11208,1.5567847823070253
APH1B,S14-9996,1.77662855342015
APH1B,S15-16380,1.8159760009719854
APH1B,S17-4703,1.8186876634415137
APH1B,S18-6943,1.543322900646912
API5,NMS22-13453,3.0955319841373092
API5,NMS22-28934,3.1658346602125573
API5,NMS23-1947,2.898000753595161
API5,NMS23-471,3.0866196176903076
API5,S08-25548,3.1532598319626945
API5,S10-479,2.8644695481794202
API5,S14-11208,3.0427959505112945
API5,S14-9996,3.07157642149853
API5,S15-16380,2.9774309293570207
API5,S17-4703,3.170249977547637
API5,S18-6943,3.0319171996994747
APLNR,NMS22-13453,2.9056286043196176
APLNR,NMS22-28934,2.2475559469281547
APLNR,NMS23-1947,2.9707790956299713
APLNR,NMS23-471,2.0824981385057795
APLNR,S08-25548,2.3821251522253215
APLNR,S10-479,3.6114630781065773
APLNR,S14-11208,2.131361989115943
APLNR,S14-9996,3.3877456596088638
APLNR,S15-16380,2.550228353055094
APLNR,S17-4703,2.695341558895208
APLNR,S18-6943,2.6744385769595764
APOE,NMS22-13453,3.8908908310774097
APOE,NMS22-28934,3.1564067860150646
APOE,NMS23-1947,3.4278267894935235
APOE,NMS23-471,3.14238320822819
APOE,S08-25548,3.5412084378153406
APOE,S10-479,3.8683528519475257
APOE,S14-11208,2.919208884270423
APOE,S14-9996,3.636052380584628
APOE,S15-16380,3.120491670672996
APOE,S17-4703,3.4285834412099496
APOE,S18-6943,3.5203931271952387
APOL6,NMS22-13453,2.5132842045434782
APOL6,NMS22-28934,2.2144994537108813
APOL6,NMS23-1947,2.8527543908053885
APOL6,NMS23-471,2.234036154915847
APOL6,S08-25548,2.441255120930429
APOL6,S10-479,2.893073445293343
APOL6,S14-11208,1.953131225183445
APOL6,S14-9996,2.402484922073764
APOL6,S15-16380,1.8952567531448945
APOL6,S17-4703,2.2001114596238014
APOL6,S18-6943,2.6203130694023407
AQP9,NMS22-13453,2.040800061256529
AQP9,NMS22-28934,1.3656751404559178
AQP9,NMS23-1947,1.4820155764507117
AQP9,NMS23-471,1.3634239329171762
AQP9,S08-25548,1.9634572601167075
AQP9,S10-479,2.098955060438469
AQP9,S14-11208,1.342817314635733
AQP9,S14-9996,2.4627722284106115
AQP9,S15-16380,1.3153404766272883
AQP9,S17-4703,1.0588054866759067
AQP9,S18-6943,1.9008585047019917
AREG,NMS22-13453,0.9489017609702137
AREG,NMS22-28934,1.3296012483565187
AREG,NMS23-1947,2.1318431308046946
AREG,NMS23-471,2.0409186507485244
AREG,S08-25548,3.0567028955488933
AREG,S10-479,2.5438818782481594
AREG,S14-11208,1.4449811120879448
AREG,S14-9996,2.4298975586871476
AREG,S15-16380,1.5814945422908993
AREG,S17-4703,1.0588054866759067
AREG,S18-6943,2.3402656009723297
ARG1,NMS22-13453,1.1115985248803941
ARG1,NMS22-28934,1.290257269394518
ARG1,NMS23-1947,0.8715729355458788
ARG1,NMS23-471,0.9143431571194408
ARG1,S08-25548,1.0759117614827776
ARG1,S10-479,1.1017470739463662
ARG1,S14-11208,1.1766699326681496
ARG1,S14-9996,1.3895204658463773
ARG1,S15-16380,1.0346284566253203
ARG1,S17-4703,1.0588054866759067
ARG1,S18-6943,1.3508292735829677
ARG2,NMS22-13453,1.9564565834098997
ARG2,NMS22-28934,2.637579781243348
ARG2,NMS23-1947,2.696618459232225
ARG2,NMS23-471,2.0592225125296895
ARG2,S08-25548,1.8226256787741408
ARG2,S10-479,2.1528995963937474
ARG2,S14-11208,2.1775364999298623
ARG2,S14-9996,2.0909278525816077
ARG2,S15-16380,2.2113875529368587
ARG2,S17-4703,2.2435588896224803
ARG2,S18-6943,1.9557358422776658
ARID1A,NMS22-13453,2.8205561089227236
ARID1A,NMS22-28934,2.826716047773789
ARID1A,NMS23-1947,2.544824298759728
ARID1A,NMS23-471,2.6368388008998784
ARID1A,S08-25548,2.917326923717577
ARID1A,S10-479,2.6106495184868352
ARID1A,S14-11208,2.6853296349723657
ARID1A,S14-9996,2.8418160530893344
ARID1A,S15-16380,2.825854358517948
ARID1A,S17-4703,2.878653902034747
ARID1A,S18-6943,2.757828589274514
ARNT2,NMS22-13453,2.0466512169709197
ARNT2,NMS22-28934,2.6301124647582816
ARNT2,NMS23-1947,1.8988896559265864
ARNT2,NMS23-471,2.1601382577234016
ARNT2,S08-25548,1.9911817576678732
ARNT2,S10-479,2.098955060438469
ARNT2,S14-11208,2.2253609803726597
ARNT2,S14-9996,1.9559762222483255
ARNT2,S15-16380,2.1749025621783264
ARNT2,S17-4703,2.181986424480151
ARNT2,S18-6943,2.2586372827240764
ATF3,NMS22-13453,2.040800061256529
ATF3,NMS22-28934,2.6610076909010316
ATF3,NMS23-1947,2.665646646127807
ATF3,NMS23-471,2.600569979623336
ATF3,S08-25548,2.985565677510108
ATF3,S10-479,2.7263848533294963
ATF3,S14-11208,2.8735124164498607
ATF3,S14-9996,3.2073300123082076
ATF3,S15-16380,2.436242180871562
ATF3,S17-4703,1.8811563210755637
ATF3,S18-6943,2.4149566440156667
ATM,NMS22-13453,3.051831421125573
ATM,NMS22-28934,3.115883315993916
ATM,NMS23-1947,2.8072305093124923
ATM,NMS23-471,3.1288449673082828
ATM,S08-25548,3.1210112954956193
ATM,S10-479,2.7195632907571934
ATM,S14-11208,3.3436291318214963
ATM,S14-9996,2.9097271460605296
ATM,S15-16380,3.0960892900197
ATM,S17-4703,2.9839914280061617
ATM,S18-6943,3.059154299331809
AXIN1,NMS22-13453,2.244153372551425
AXIN1,NMS22-28934,2.2866360787164175
AXIN1,NMS23-1947,2.3723595825243238
AXIN1,NMS23-471,2.1357685145678222
AXIN1,S08-25548,2.423753619612828
AXIN1,S10-479,2.7126244512140003
AXIN1,S14-11208,2.345863628503764
AXIN1,S14-9996,2.3775248006737018
AXIN1,S15-16380,2.6065533288752367
AXIN1,S17-4703,2.4110975655082783
AXIN1,S18-6943,2.299420125982029
AXL,NMS22-13453,3.1724832502466174
AXL,NMS22-28934,3.0159671750252306
AXL,NMS23-1947,3.3657032068356374
AXL,NMS23-471,3.2563689198802916
AXL,S08-25548,3.1649414314802207
AXL,S10-479,3.55298196263293
AXL,S14-11208,3.0541379048178086
AXL,S14-9996,3.21111519934965
AXL,S15-16380,2.9220659922121754
AXL,S17-4703,3.0181052239269794
AXL,S18-6943,3.059154299331809
B2M,NMS22-13453,4.396179114431718
B2M,NMS22-28934,4.187930850803073
B2M,NMS23-1947,4.174107219738784
B2M,NMS23-471,4.242098460610709
B2M,S08-25548,4.428614359735712
B2M,S10-479,4.292142386544923
B2M,S14-11208,4.0698482140812615
B2M,S14-9996,4.187573735368497
B2M,S15-16380,4.193363394656544
B2M,S17-4703,4.217833344881199
B2M,S18-6943,4.318450895086243
BAD,NMS22-13453,2.5092966316810252
BAD,NMS22-28934,2.2429884121947947
BAD,NMS23-1947,2.702981671648809
BAD,NMS23-471,2.17868923977559
BAD,S08-25548,2.618727784837913
BAD,S10-479,3.030385152589459
BAD,S14-11208,2.573741641520317
BAD,S14-9996,2.7126581181053835
BAD,S15-16380,2.664707772765842
BAD,S17-4703,2.5603012588496394
