gene_symbol,sample,norm_exp
A2M,NMS22-13453,18994.71
A2M,NMS22-28934,32437.3
A2M,NMS23-1947,20964.5
A2M,NMS23-471,10562.54
A2M,S08-25548,9032.59
A2M,S10-479,12600.21
A2M,S14-11208,2929.25
A2M,S14-9996,7203.07
A2M,S15-16380,13218.09
A2M,S17-4703,15516.11
A2M,S18-6943,10711.54
ACVR1C,NMS22-13453,25.35
ACVR1C,NMS22-28934,46.27
ACVR1C,NMS23-1947,48.9
ACVR1C,NMS23-471,33.14
ACVR1C,S08-25548,26.67
ACVR1C,S10-479,124.59
ACVR1C,S14-11208,26.86
ACVR1C,S14-9996,25.87
ACVR1C,S15-16380,96.15
ACVR1C,S17-4703,19.46
ACVR1C,S18-6943,171.47
ADAM12,NMS22-13453,1728.15
ADAM12,NMS22-28934,1269.66
ADAM12,NMS23-1947,581.87
ADAM12,NMS23-471,1505.33
ADAM12,S08-25548,1179.69
ADAM12,S10-479,622.95
ADAM12,S14-11208,1203
ADAM12,S14-9996,1298.1
ADAM12,S15-16380,1078.38
ADAM12,S17-4703,990.61
ADAM12,S18-6943,367.95
ADGRE1,NMS22-13453,49.21
ADGRE1,NMS22-28934,22.21
ADGRE1,NMS23-1947,29.34
ADGRE1,NMS23-471,7.21
ADGRE1,S08-25548,23.04
ADGRE1,S10-479,191.04
ADGRE1,S14-11208,8.18
ADGRE1,S14-9996,32.92
ADGRE1,S15-16380,9.83
ADGRE1,S17-4703,20.39
ADGRE1,S18-6943,25.01
ADM,NMS22-13453,260.94
ADM,NMS22-28934,268.37
ADM,NMS23-1947,581.87
ADM,NMS23-471,123.08
ADM,S08-25548,1876.84
ADM,S10-479,1254.21
ADM,S14-11208,148.33
ADM,S14-9996,670.22
ADM,S15-16380,274.24
ADM,S17-4703,109.35
ADM,S18-6943,317.93
ADORA2A,NMS22-13453,114.81
ADORA2A,NMS22-28934,62.93
ADORA2A,NMS23-1947,61.12
ADORA2A,NMS23-471,69.43
ADORA2A,S08-25548,95.78
ADORA2A,S10-479,215.96
ADORA2A,S14-11208,45.55
ADORA2A,S14-9996,61.14
ADORA2A,S15-16380,54.63
ADORA2A,S17-4703,56.53
ADORA2A,S18-6943,87.52
AKT1,NMS22-13453,2428.95
AKT1,NMS22-28934,2063.65
AKT1,NMS23-1947,1594.04
AKT1,NMS23-471,2240.64
AKT1,S08-25548,2466.08
AKT1,S10-479,921.97
AKT1,S14-11208,1871.08
AKT1,S14-9996,2121.18
AKT1,S15-16380,2742.39
AKT1,S17-4703,2301.84
AKT1,S18-6943,1805.8
ALDOA,NMS22-13453,10686.48
ALDOA,NMS22-28934,12765.04
ALDOA,NMS23-1947,30646.06
ALDOA,NMS23-471,11739.67
ALDOA,S08-25548,10232.89
